"class_code","group"
"B62D  15/0248","IPC3"
"B62D  15/0249","IPC3"
"B62D  15/025","IPC3"
"B62D  15/0251","IPC3"
"B62D  15/0252","IPC3"
"B62D  15/0253","IPC3"
"B62D  15/0254","IPC3"
"B62D  15/0255","IPC3"
"B62D  15/0256","IPC3"
"B62D  15/0257","IPC3"
"B62D  15/0258","IPC3"
"B62D  15/0259","IPC3"
"B62D  15/026","IPC3"
"B62D  15/0261","IPC3"
"B62D  15/0262","IPC3"
"B62D  15/0263","IPC3"
"B62D  15/0264","IPC3"
"B62D  15/0265","IPC3"
"B62D  15/0266","IPC3"
"B62D  15/0267","IPC3"
"B62D  15/0268","IPC3"
"B62D  15/0269","IPC3"
"B62D  15/027","IPC3"
"B62D  15/0271","IPC3"
"B62D  15/0272","IPC3"
"B62D  15/0273","IPC3"
"B62D  15/0274","IPC3"
"B62D  15/0275","IPC3"
"B62D  15/0276","IPC3"
"B62D  15/0277","IPC3"
"B62D  15/0278","IPC3"
"B62D  15/0279","IPC3"
"B62D  15/028","IPC3"
"B62D  15/0281","IPC3"
"B62D  15/0282","IPC3"
"B62D  15/0283","IPC3"
"B62D  15/0284","IPC3"
"B62D  15/0285","IPC3"
"B62D  15/0286","IPC3"
"B62D  15/0287","IPC3"
"B62D  15/0288","IPC3"
"B62D  15/0289","IPC3"
"B62D  15/029","IPC3"
"B62D  15/0291","IPC3"
"B62D  15/0292","IPC3"
"B62D  15/0293","IPC3"
"B62D  15/0294","IPC3"
"B62D  15/0295","IPC3"
"F03D   7/04","IPC3"
"F03D   7/041","IPC3"
"F03D   7/042","IPC3"
"F03D   7/043","IPC3"
"F03D   7/044","IPC3"
"F03D   7/045","IPC3"
"F03D   7/046","IPC3"
"F03D   7/047","IPC3"
"F03D   7/048","IPC3"
"G01R  31/28","IPC3"
"G01R  31/28001","IPC3"
"G01R  31/28002","IPC3"
"G01R  31/28003","IPC3"
"G01R  31/28004","IPC3"
"G01R  31/28005","IPC3"
"G01R  31/28006","IPC3"
"G01R  31/28007","IPC3"
"G01R  31/28008","IPC3"
"G01R  31/28009","IPC3"
"G01R  31/2801","IPC3"
"G01R  31/28011","IPC3"
"G01R  31/28012","IPC3"
"G01R  31/28013","IPC3"
"G01R  31/28014","IPC3"
"G01R  31/28015","IPC3"
"G01R  31/28016","IPC3"
"G01R  31/28017","IPC3"
"G01R  31/28018","IPC3"
"G01R  31/28019","IPC3"
"G01R  31/2802","IPC3"
"G01R  31/28021","IPC3"
"G01R  31/28022","IPC3"
"G01R  31/28023","IPC3"
"G01R  31/28024","IPC3"
"G01R  31/28025","IPC3"
"G01R  31/28026","IPC3"
"G01R  31/28027","IPC3"
"G01R  31/28028","IPC3"
"G01R  31/28029","IPC3"
"G01R  31/2803","IPC3"
"G01R  31/28031","IPC3"
"G01R  31/28032","IPC3"
"G01R  31/28033","IPC3"
"G01R  31/28034","IPC3"
"G01R  31/28035","IPC3"
"G01R  31/28036","IPC3"
"G01R  31/28037","IPC3"
